20240616	16:16:35	ba326459-1f5e-4b21-a4fa-daa78644edbc	GET 	undefined 	 /index
20240616	16:18:39	f01e2d92-89ff-4c9b-8247-844e0998bb50	GET 	undefined 	 /index
20240616	16:18:39	2ae3554e-ff38-4421-908e-ed397046fb22	GET 	undefined 	 /img/fast-delivery.png
20240616	16:18:39	b20b14d8-f6d0-4823-8c45-e73e5d0ffe08	GET 	undefined 	 /img/customer-support.png
20240616	16:18:39	26a02a8c-3bd8-4ab8-b717-fb42c76c55fc	GET 	undefined 	 /img/secure-payment.png
20240616	16:18:39	ff0357be-6487-430f-ad05-45290da3e2d6	GET 	undefined 	 /css/styles.css
20240616	16:18:39	a7a3fbe5-7f89-4334-98eb-339255fcd7ef	GET 	undefined 	 /img/image2.png
20240616	16:18:58	f03c25b4-670f-4ea0-8853-a6d7da1ca8b8	GET 	undefined 	 /contact
20240616	16:19:03	2c7ea4aa-f7c3-4966-b710-9c70f3021a52	GET 	undefined 	 /products
20240616	16:19:12	f1dbd8f6-6425-44ac-a010-aabcefc24fd1	GET 	undefined 	 /new-page
20240616	16:28:10	2a0cd052-db34-4913-bca5-56b43843547a	GET 	undefined 	 /
20240616	16:28:12	04165a58-1387-4be3-aea7-159c5c98dc29	GET 	undefined 	 /
